,portfolio,portfolio.curve,portfolio.percent.curve,capital
2024-09-05,29054.190000000013,-3930.7177777777433,-0.3930717777777728,1000000.0
2024-09-06,7248.380000000029,3317.662222222286,0.33176622222223007,1000000.0
2024-09-09,-21499.999999999985,-18182.3377777777,-1.8182337777777686,1000000.0
2024-09-10,9452.570000000242,-8729.767777777457,-0.8729767777777444,1000000.0
2024-09-11,4229.999999999826,-4499.767777777631,-0.44997677777776174,1000000.0
2024-09-12,-5169.999999999974,-9669.767777777604,-0.9669767777777591,1000000.0
2024-09-13,20209.999999999985,10540.232222222381,1.0540232222222394,1000000.0
2024-09-16,4230.00000000016,14770.232222222541,1.4770232222222555,1000000.0
2024-09-17,-3775.8100000002537,10994.422222222287,1.0994422222222302,1000000.0
2024-09-18,1872.569999999959,12866.992222222247,1.286699222222226,1000000.0
2024-09-19,8112.570000000188,20979.562222222434,2.097956222222245,1000000.0
2024-09-20,1556.7600000000614,22536.322222222494,2.253632222222251,1000000.0
2024-09-23,3416.75999999972,25953.082222222212,2.595308222222223,1000000.0
2024-09-24,7360.950000000282,33314.03222222249,3.331403222222251,1000000.0
2024-09-25,8630.949999999695,41944.982222222185,4.1944982222222205,1000000.0
2024-09-26,12880.950000000492,54825.93222222268,5.4825932222222695,1000000.0
2024-09-27,12240.949999999739,67066.88222222241,6.706688222222244,1000000.0
2024-09-30,17960.949999999906,85027.83222222232,8.502783222222234,1000000.0
2024-10-01,-35749.049999999705,49278.78222222262,4.9278782222222635,1000000.0
2024-10-02,-16702.289999999975,32576.49222222264,3.257649222222266,1000000.0
2024-10-03,-29879.999999999953,2696.4922222226887,0.2696492222222706,1000000.0
2024-10-04,5667.710000000024,8364.202222222713,0.8364202222222729,1000000.0
2024-10-07,-28860.000000000044,-20495.79777777733,-2.049579777777731,1000000.0
2024-10-08,-1559.0500000002314,-22054.847777777562,-2.2054847777777544,1000000.0
2024-10-09,2759.9999999999413,-19294.84777777762,-1.9294847777777604,1000000.0
2024-10-10,-13109.999999999844,-32404.847777777464,-3.240484777777745,1000000.0
2024-10-11,17250.0,-15154.847777777464,-1.5154847777777447,1000000.0
2024-10-14,0.0,-15154.847777777464,-1.5154847777777447,1000000.0
2024-10-15,-689.9999999998627,-15844.847777777326,-1.584484777777731,1000000.0
2024-10-16,12404.18999999998,-3440.6577777773455,-0.34406577777773295,1000000.0
2024-10-17,-2720.000000000425,-6160.657777777771,-0.6160657777777754,1000000.0
2024-10-18,4760.000000000019,-1400.657777777752,-0.14006577777777346,1000000.0
2024-10-21,-20399.999999999807,-21800.65777777756,-2.180065777777754,1000000.0
2024-10-22,-6119.999999999749,-27920.65777777731,-2.792065777777729,1000000.0
2024-10-23,0.0,-27920.65777777731,-2.792065777777729,1000000.0
2024-10-24,-11560.000000000116,-39480.65777777742,-3.9480657777777406,1000000.0
2024-10-25,-7495.809999999962,-46976.46777777738,-4.697646777777737,1000000.0
2024-10-28,-6030.000000000228,-53006.46777777761,-5.30064677777776,1000000.0
2024-10-29,5359.999999999885,-47646.467777777725,-4.764646777777771,1000000.0
